sample;annotation
Честное коровье молоко;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 21, 'I-BRAND')]
Коровка;[(1, 8, 'B-BRAND')]
The gentle nut;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 13, 'I-BRAND')]
Валуйкисахар,Русский сахар;[(1, 20, 'B-BRAND'), (21, 26, 'I-BRAND')]
Старый Мельник;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Бежин луг;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Makfa, makfa;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Pretto;[(1, 7, 'B-BRAND')]
Royal food;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
j7;[(1, 3, 'B-BRAND')]
Ярмарка вкуса;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
TESS,Greenfield Tea Ltd;[(1, 15, 'B-BRAND'), (16, 18, 'I-BRAND'), (19, 22, 'I-BRAND')]
Ādažu Čipši;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Галичское по птицеводству;[(1, 9, 'B-BRAND'), (10, 11, 'I-BRAND'), (12, 24, 'I-BRAND')]
Нарзан;[(1, 7, 'B-BRAND')]
Сибагра;[(1, 8, 'B-BRAND')]
Spice;[(1, 6, 'B-BRAND')]
Птицефабрика Синявинская;[(1, 12, 'B-BRAND'), (13, 24, 'I-BRAND')]
Жуковский хлеб;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
Dolce Granto;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Баунти;[(1, 7, 'B-BRAND')]
yftdjftgudyg0kjvm;[(1, 18, 'B-BRAND')]
Роза Хутор;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Tamaki;[(1, 7, 'B-BRAND')]
Metro Chef;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Ferrero Rocher;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Clever;[(1, 7, 'B-BRAND')]
Сиб-Крук;[(1, 9, 'B-BRAND')]
Ложкаревъ;[(1, 10, 'B-BRAND')]
Крутогорские;[(1, 13, 'B-BRAND')]
Московская кофейня на паяхъ;[(1, 10, 'B-BRAND'), (11, 17, 'I-BRAND'), (18, 19, 'I-BRAND'), (20, 25, 'I-BRAND')]
РБМК;[(1, 5, 'B-BRAND')]
Великолукский Мясокомбинат;[(1, 13, 'B-BRAND'), (14, 26, 'I-BRAND')]
Рестория шеф;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Wet n Wild;[(1, 3, 'B-BRAND'), (4, 4, 'I-BRAND'), (5, 9, 'I-BRAND')]
Kloob;[(1, 6, 'B-BRAND')]
Muzzly;[(1, 7, 'B-BRAND')]
Депи;[(1, 5, 'B-BRAND')]
Baskin Robbins;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Грани;[(1, 6, 'B-BRAND')]
SWEET BOX;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
vici;[(1, 5, 'B-BRAND')]
Карат;[(1, 6, 'B-BRAND')]
